text,option1,option2,option3,option4,correctOption
"What is Formula Student?","A racing competition","A university competition","A car show","A design contest","A university competition"
"What is the maximum engine capacity allowed?","600cc","610cc","620cc","650cc","610cc"
"What is the minimum weight of the car?","150kg","160kg","170kg","180kg","160kg"
"What type of fuel is typically used?","Gasoline","Diesel","Ethanol","Electric","Ethanol"
"What is the purpose of the static events?","Design evaluation","Speed testing","Endurance","All of the above","All of the above"












